id	name	question	description
18	Energetski projekti i zaštita životne sredine	Da li energetski projekti trebaju biti prioritet u odnosu na zaštitu životne sredine?	Veliki energetski projekti poput izgradnje brana i termoelektrana će neminovno uticati na stanje životne sredine. Ovakvi objekti moraju imati Okolinske dozvole i studije uticaja na životnu sredinu.
19	Privatizacija javnih kompanija	Da li treba privatizirati državne kompanije koje posluju s profitom, ako će to značiti smanjenje korupcije i onemogućavanje sticanje lične koristi pojedinca?	Jedan dio kompanija u državnom vlasništvu posluje sa profitom, te se one smatraju uspješnim. Upravne i nadzorne odbore ovih kompanija uglavnom čine ljudi koje imenuju stranke na vlasti. Oni koji zagovaraju ostanak ovih kompanija u državnom vlasništvu to baziraju na tome da ne treba privatizirati društveno dobro, dok oni koji su za privatizaciju uglavnom govore da su te kompanije jedan od većih izvora korupcije.
20	Teritorijalna reorganizacija BiH	Da li svaka teritorijalna reorganizacija BiH mora obuhvatati oba entiteta?	Tokom ovoga mandata, a u okviru rasprave po pitanju izmjena Izbornog zakona BiH, ponovo je aktuelizirano pitanje teritorijalne reorganizacije FBiH. Prijedlozi su išli od onih koji na etničkoj osnovi zagovaraju samo izmjene na teritoriji FBiH, do onih za koje bi bilo kakva teritorijalna reorganizacija u BiH morala obuhvatiti oba entiteta.
21	Dvije škole pod jednim krovom	Da li treba napustiti praksu "dvije škole pod jednim krovom" u svim dijelovima BiH?	Nakon završetka rata u FBiH je uspostavljen sistem "dvije škole pod jednim krovom" koji podrazumijeva da djeca različitih nacionalnosti idu u istu školu, ali su podijeljeni po odjeljenjima i nastavnim planovima. Često je slučaj da djeca u ovakvim školama ulaze na odvojene ulaze u školu.
22	Treći kanal	Da li ste za uvođenje javnog TV kanala na hrvatskom jeziku?	Pitanje uvođenja kanala na hrvatskom jeziku aktuelno je od samog početka djelovanja PBS-a BiH, a tokom proteklog mandata Vijeće ministara BiH je usvojilo Prijedlog zakona prema kojem je moguće osnivanje ovog kanala. Zakon nikada nije usvojen u PSBiH.
23	Izbor članova Predsjedništva	Da li hrvatski član Predsjedništva treba biti biran iz većinski hrvatskih kantona, a bošnjački iz većinski bošnjačkih kantona?	Djelimično usvojeni zahtjev Bože Ljubića za ocjenu ustavnosti odredbi članova Izbornog zakona BiH od strane Ustavnog suda BiH, od dana donošenja, često je u javnosti predmet zloupotrebe i krivog interpretiranja. Tako su pojedine političke partije ovo pitanje pokušale pretvoriti u rješavanje "problema legitimnosti izbora hrvatskog člana Predsjedništva.” Slično se dogodilo i tokom mandata 2010. - 2014. kada je uklanjanje diskriminacije prema predstavnicima nekonstitutivnih naroda u Ustavu BiH, koje je naloženo odlukom Evropskog suda za ljudska prava u predmetu "Sejdić-Finci", preraslo u rješavanje "hrvatskog pitanja" u BiH.
24	Ulazak u NATO	Treba li BiH provesti referendum za ulazak u NATO?	SNSD i vodeći ljudi u ovoj partiji su više puta ponavljali da je potrebno provesti referendum za ulazak u NATO savez. Većina drugih partija je protiv ovoga, neke zbog toga jer smatraju da se ne treba raspravljati o ulasku u NATO savez ili jer smatraju da BiH treba slijediti Srbiju po ovom pitanju.
25	Priznavanje Kosova	Treba li BiH priznati Kosovo?	Priznanje Kosova je tema koja se nekoliko puta u proteklom mandatu našla u žiži javnosti, te su mišljenja oko toga da li se Kosovo treba priznati podijeljena, pogotovo u kontekstu odnosa sa Republikom Srbijom. 
26	Doprinosi na plate	Da li treba smanjiti ukupnu stopu doprinosa na plate?	Smanjenje doprinosa na plate je bila jedna od najaktuelnijih tema u proteklom mandatu, obzirom da je Reformska agenda bila usmjerena na poboljšanje institucionalnih okvira za poslovanje, a prema stavovima poslodavaca visoka stopa doprinosa na plate je jedan od glavnih problema za poslovanje. 
27	Isplata penzija	Penzije treba isplaćivati iz budžeta, a ne iz penzionih fondova?	U proteklom mandatu usvojene su izmjene zakona kojima su penzioni fondovi prešli na budžetsko poslovanje. 
28	Prava penzionera	Da li penzioneri koji su u državnoj službi trebaju moći nastaviti raditi po ugovoru o djelu i nakon odlaska u penziju, za razliku od svih drugih penzionera?	Pitanje u vezi sa zasnivanjem radnog odnosa penzionera je sporno jer novim zakonom o PIO FBiH je data mogućnost da samo penzioneri koji su u državnoj službi mogu da zasnuju radni odnos u vidu ugovora o djelu, autorskih ugovora i konsultantskih ugovora. Dok u RS je to moguće od zakona o PIO RS donesenog iz 2012 godine.
29	Progresivna stopa poreza na dohodak	Treba li uvesti progresivnu stopu poreza na dohodak?	Uvođenje progresivne stope poreza na dohodak je jedna od mjera za koju se smatra da bi dovela do pravednijeg oporezivanja, budući da postoji značajna razlika u primanjima u realnom i javnom sektoru. 
30	Registracija poslovnih subjekata	Potrebno je uvesti jednošalterski sistem za registraciju poslovnih subjekata i dobijanje dokumentacije potrebne za početak poslovanja? 	Jednošalterskim sistemom za registraciju poslovnih subjekata bi se značajno olakšala registracija privrednih društava i olakšalo bi se pokretanje poslovanja, što je jedan od ciljeva Reformske agende.
31	Koncesije	Treba li omogućiti privatnim preduzećima da koncesiono grade i naplaćuju korištenje javne infrastukture?	Postoje stavovi da, ukoliko bi se privatnim poduzećima omogućilo da koncesiono grade određene infrastrukturne projekte od javne važnosti, tempo izgradnje infrastrukturnih projekata bi se pojačao. 
32	EU integracije	Da li EU integracije moraju biti bezuslovni prioritet, čak i u slučaju da to smanjuje uticaj predstavnika konstitutivnih naroda ili pojedinih nivoa vlasti?	EU integracije za većinu građana i građanki, kao i političkih partija, predstavljaju najvažniji cilj. Međutim, iz razloga praktične i kontekstualne prirode EU put BiH će vrlo vjerovatno značiti i smanjenje uticaja predstavnika pojedinih nivoa vlasti ili uticaj etno-politike na društvene tokove.
33	Firme u stečaju	Da li u slučaju firmi u stečaju isplata svih dugovanja radnicima treba imati prioritet?	Nakon presude Ustavnog suda FBiH, izmjenama Zakona o stečaju propisano je da se sva dugovanja radnicima fabrika u stečaju svrstavaju u prvi isplatni red. U Republici Srpskoj to još uvijek nije slučaj. 
