id	name en	question en	name cs	question cs	description cs	návrh doprovodného textu	poznámky/možnosti/postřehy	další poznámky	name sk	question sk	description sk
	EU Enlargement	The European Union should not accept any new member states.	Zastavení rozšiřování EU	EU by měla zastavit přijímání dalších zemí.	V současné době jsou oficiálními kandidáty na členství Černá Hora, Island, Makedonie, Srbsko a Turecko. 	V souvislosti s rozšířením se hovoří o Islandu, Albánii, Bosně a Hercegovině, Makedonii, Černé Hořa, Kosovu, Srbsku a Turecku. Podle zastánců by rozšíření zvedlo životní úroveň v daných zemích a zvětšilo společný trh EU, kritici poukazují na problémy migrace či bezpečnosti vnějších hranic.	Nyní se v souvislosti s rozšířením EU hovoří o státech: Albánie, Bosna a Hercegovina, Bývalá jugoslávská republika Makedonie, Černá Hora, Island, Kosovo, Srbsko a Turecko. Představitelé EU se obecně staví k dalšímu rozšiřování pozitivně, avšak kritici poukazují na problémy spojené s dalším rozšiřováním EU, jimiž mohou být migrace, bezpečnost vnějších hranic EU nebo ekonomická zátěž EU. 		Rozširovanie EÚ	EÚ by nemala príjmať nové členské štáty	
	Financial Transaction Tax	The EU should introduce a tax on financial transactions.	Daň z finančních transakcí	EU by měla zavést daň z finančních transakcí ("tzv. Tobinovu daň")	Podle zastánců by daň z finančních transakcí (tzv. "Tobinova daň", zhruba 0.01%-0.1%) měla zabraňovat finančním spekulacím. Kritici argumentují, že takové opatření by muselo být zavedeno celosvětově, jinak by vedlo k velkému přesunu firem za hranice EU. 	Podle zastánců by daň z finančních transakcí neboli tzv. Tobinova daň měla regulovat pohyb transakcí prováděných finančními institucemi a zabraňovat spekulacím. Kritici argumentují, že takové opatření by muselo být zavedeno celosvětově, jinak by vedlo k velkému přesunu firem za hranice EU. 	Daň z finančních transakcí neboli tzv. Tobinova daň by měla regulovat pohyb velkého množství spekulativních transakcí prováděných finančními institucemi. Kritici však argumentují, že takové opatření by muselo být zavedeno celosvětově, jinak by vedlo k velkému přesunu firem za hranice EU. 		Daň z finančných transakcií	EÚ by mala zaviesť daň z finančných transakcií ("tzv. Tobinová daň")	
	European Army	EU member states should create a European army.	Evropská armáda	EU by měla mít vlastní armádu.	V současné době EU nemá, krom výjimek jako bitevní skupiny, vlastní armádu. Podle zastánců by existence společné armády zvýšilo postavení EU na mezinárodní scéně a přispělo k řešení konfliktů. Podle kritiků by obrana měla zůstat pouze v rukou členských států.	Podle zastánů by úspěšné fungování společné armády mohlo zvýšit postavení EU na mezinárodní scéně a přispět k efektivnímu řešení konfliktů. Podle kritiků by obrana měla zůstat v rukou členských států.	Společná evropská armáda je projekt Společné zahraniční a bezpečnostní politiky Unie, jenž stojí na ochotě, schopnosti a kapacitě členských států. Úspěšné fungování armády by mohlo zvýšit postavení EU na mezinárodní scéně a přispět k efektivnímu řešení konfliktů. Problémem je však schopnost států dohodnout se na jednotném postupu a prioritách spolu s neochotou zemí vyčlenit investice a prostředky na fungování tohoto projektu.	http://www.evropa2045.cz/hra/napoveda.php?kategorie=2&tema=59	Európska armáda	EÚ by mala mať vlastnú armádu	
	Dismissal of Commissioners	The European Parliament should be able to sack individual commissioners.	Odvolatelnost komisařů	Evropský parlament by měl mít možnost odvolat jednotlivé evropské komisaře	Komisaři jsou do své funkce navrhováni členskými státy. Komise ("evropská vláda") jako celek je schválena Evropským parlamentem. Jediný způsob, jakým může být celá komise odvolána, je vyhlášení nedůvěry Evropským parlamentem, s dvěma třetinami hlasů jeho poslanců. Odvolat jednotlivého komisaře parlament nemůže.	Komisaři jsou do své funkce navrhováni členskými státy a společně jmenováni Radou EU a předsedou Evropské komise. Předseda je navržen Evropskou radou a musí být schválen Evropským parlamentem. Komise jako celek je schválena Evropským parlamentem a podléhá přímo jemu. Jediný způsob, jakým může být celá komise odvolána, je vyhlášení nedůvěry Evropským parlamentem, s dvěma třetinami hlasů jeho poslanců.	Komisaři pocházejí z členských států a jsou těmito státy do své funkce navrhováni. Jsou zcela nezávislí, nesmějí přijímat instrukce od státu, ze kterého pocházejí. Komisaři jsou společně jmenováni Radou EU a předsedou Evropské komise. Předseda je navržen Evropskou radou a musí být schválen Evropským parlamentem, předseda také uděluje jednotlivým komisařům jejich resorty. Komise jako celek je schválena Evropským parlamentem a podléhá přímo jemu. Jediný způsob, jakým může být celá komise odvolána, je vyhlášení nedůvěry Evropským parlamentem, s dvěma třetinami hlasů jeho poslanců.	nevím, jestli "sack" je to správný překlad	Odvolateľnosť komisárov	Európsky parlament by mal mať možnosť odvolať jednotlivých európskych komisárov	
	EU Foreign Policy	More foreign policy areas should be agreed at an EU level.	Zahraniční politika EU	Více oblastí zahraniční politiky by mělo být rozhodováno na úrovni EU.	EU si dala možnost provádět společnou zahraniční a bezpečnostní politiku, ale tato možnost se využívá jen omezeně. Pro členské státy jsou cíle sice závazné, ale evropské právo nemá žádné sankce za porušení.	EU si dala možnost provádět společnou zahraniční a bezpečnostní politiku, ale tato možnost se využívá jen omezeně. Pro členské státy jsou cíle sice závazné, ale evropské právo nemá žádné sankce za porušení.	Zahraniční politika Evropské unie byla založena Maastrichtskou smlouvou v roce 1993, společně s bezpečnostní politikou EU. EU si dala možnost provádět společnou zahraniční a bezpečnostní politiku, reálně ale brzy došlo k tomu, že členské státy této možnosti využívají jen omezeně. V zahraniční politice se může jednat o cíle evropské politiky vůči zemím nebo regionům, ale i o vojenská témata, jako je nešíření zbraní hromadného ničení. Pro členské státy jsou sice závazné, ale evropské právo nemá žádné sankce za porušení, a tak tlak na jejich dodržování je pouze politický.		Zahraničná politika EÚ	Viac oblastí zahraničnej politiky by malo byť na úrovni EÚ	
	EU Development Aid	The EU should increase the amount of money it spends on foreign aid.	Rozvojová pomoc EU	EU by měla zvýšit prostředky na zahraniční pomoc.	EU je největším světovým poskytovatelem rozvojové pomoci. Podle zastánců rozvojová pomoc pomáhá v cílových zemích a zabraňuje tak mj. populační explozi a snižuje emigraci do bohatších zemí jako jsou země EU. Podle odpůrců podstatná část je rozkradena vládními vrstvami a zločineckými strukturami a nedostane se tak k těm, kterým je určena.	EU je největším světovým poskytovatelem rozvojové pomoci. Podle zastánců rozvojová pomoc zvyšuje životní úroveň v rozvojových zemích, podle odpůrců naopak jejich ekonomiky poškozuje, protože vytváří závislost na další pomoci.	EU je největším světovým poskytovatelem rozvojové pomoci. Z celkové rozvojové aktivity řídí pětinu Evropská komise a zbytek členské státy. Pomoc pro rozvoj od EU je realizována prostřednictvím řady podpůrných programů financovaných z rozpočtu EU. Evropský rozvojový fond, který funguje na dohodě členských zemí, poskytuje prostředky na rozvoj méně vyspělých zemí. Další prostředky poskytuje Evropská investiční banka, která poskytuje zvýhodněné úvěry rozvojovým zemím. 		Rozvojová pomoc EÚ	EÚ by mala zvýšiť prostriedky na zahraničnú pomoc	
	Eurobonds	There should be Eurobonds, whereby all Eurozone countries can be guarantors when one of them takes out a loan.	Společné evropské dluhopisy	Měly by být zavedeny společné evropské dluhopisy pro země eurozóny.	Pomocí společných evropských dluhopisů (eurobondů) by investoři půjčovali finance eurozóně jako celku. Eurobondy mají pomoci řešit dluhovou krizi snížením nákladů úvěrů pro země jako Řecko nebo Portugalsko, což by pomohlo jim i celé eurozóně. Kritici upozorňují na morální hazard, jednotlivé země by nesly nižší riziko a mohly se chovat nezodpovědně.	Evropská komise chce garantovat úvěry na důležité projekty rozpočtem EU. Podle zastánců by měly stabilizovat ekonomiky členských států. Podle odpůrců by dluhopisy mohly "zničit" euro a snížily by konkurenci v eurozóně.	Evropská komise chce garantovat úvěry na důležité projekty rozpočtem EU, kdy toto navrhl Komisař pro hospodářské a měnové otázky Olli Rehnem. Podle něj by se měly zvýšit investice do evropského hospodářství o miliardy. Garance rozpočtem EU a Evropskou investiční bankou sníží zbylé riziko dopravních a energetických projektů. Toto by mělo stabilizovat evropské ekonomiky států. Opačné názory tvrdí, že by dluhopisy mohly "zničit" euro a snížily by konkurenci v eurozóně, která je podle odborníků důležitá.		Spoločné európské dlhopisy	Mali by byť zavedené spoločné európske dlhopisy, ktorými by štáty eurozóny ručili v prípade finančného úveru	
	Same-sex Marriages	Member states must recognise same-sex marriages conducted in other EU countries.	Sňatky osob stejného pohlaví 	Členské státy musí uznat sňatky osob stejného pohlaví, které jsou uzavřeny v jiné členské zemi EU.	Evropský soud pro lidská práva v roce 2010 rozhodl, že registrované partnerství není lidským právem a smluvní státy nemají povinnost jej umožňovat uzavřít a uznávat. Zastánci požadují stejná práva pro homosexuální dvojice v celé EU. Odpůrci odmítají uznávat registrované partnerství např. z náboženských důvodů.	Evropský soud pro lidská práva v roce 2010 rozhodl, že registrované partnerství není lidským právem a smluvní státy nemají povinnost jej umožňovat uzavřít a uznávat. Zastánci požadují stejná práva pro homosexuální dvojice v celé EU a ne jen v některých zemích. Odpůrci odmítají uznávat registrované partnerství např. z náboženských důvodů.	Evropský soud pro lidská práva v roce 2010 rozhodl, že registrované partnerství není lidským právem a smluvní státy nemají povinnost jej umožňovat uzavřít a uznávat. Zástupci některých organizací, které bojují za lidská práva, usilují o schválení jednotné legislativy, jež by zaručovala základní práva párů stejného pohlaví platná pro celou EU. Nejzásadnější problém je, že toto není v kompetenci EU a tím se některé státy ohrazují a brání. Státy odmítají uznávat registrované partnerství např. z náboženských důvodů. EU by chtěla stejná práva pro homosexuální dvojice v celé EU a ne jen v některých zemích, aby se mohly tyto osoby volně pohybovat a nebyly "utiskovány" v členských zemích EU.		Sobáše osôb rovnakého pohlavia	Členské štáty musia uznať sobáše osôb ronakého pohlavia, ktorú sú zavedené v inej členskej krajine EÚ	
	Asylum Laws	The rules for accommodating asylum-seekers should be the same in every EU country.	Azylové zákony	Podmínky pro udělení azylu by měly být stejné ve všech členských státech EU	Podle zastánců by sjednocení podmínek pro udělení azylu zamezilo "přelévání" lidí, hledajících azyl, z jedné země EU do jiné. Odpůrci naopak argumentují, že situace se liší v jednotlivých státech, proto by regulace udělování azylu měls zůstat na národní úrovni.	Podle zastánců by sjednocení podmínek pro udělení azylu zamezilo "přelévání" lidí, hledajících azyl, z jedné země EU do jiné. Odpůrci naopak argumentují, že situace se liší v jednotlivých státech, proto by regulace udělování azylu měls zůstat na národní úrovni.	Základem azylové politiky je status uprchlíka a základní princip nemožnosti návratu do země původu, jestliže mu hrozí újma na životě či osobní svobodě. Migrace a azylová politika představují pro EU stále více sledovaný problém, protože všechny státy neposkytují azyl v takové míře, v jaké by měly, a některé státy dokonce platí uprchlíkům, aby žádali o azyl v jiném státě. To odůvodňují tím, že uprchlíci nemají žádné naděje a nároky na sociální dávky a je tedy nesprávné jim dávat naději. Tyto nesrovnalosti a nestejné služby poskytování azylu všech států EU mohou vést k násilnostem a nepokojům. Naopak zavedení stejného práva na azyl ve všech členských zemích by mohlo zajistit všem lidem stejné podmínky ve všech státech EU.		Azylové zákony	Podmienky pre udelenie azylu by mali byť rovnaké vo všetkých členských štátoch EÚ	
	European Taxes	The EU should be able to raise European taxes to replace member states contributions.	Evropské daně	EU by měla vybírat evropské daně, které by nahradily existující příspěvky členských států.	V současné době většina příjmů EU pochází z příspěvků jednotlivých zemí na základě výše jejich hrubého národního produktu. Zavedením evropské daně by se zvýšila nezávislost rozpočtu EU na členských zemích.	V současné době většina příjmů EU pochází z příspěvků jednotlivých zemí na základě výše jejich hrubého národního produktu. Zavedení evropské daně by se zvýšilo nezávislost institucí EU na národních státech.	EU chce zavést vybírání daní od občanů všech členských států místo příspěvků členských států. EU se chce tímto krokem vyvarovat přímého spojení mezi národními rozpočty a rozpočtem Unie, a tím i změnit příjmy rozpočtu EU. Cílem je získat více prostředků do kasy EU. Některé země kontrují tím, že zavedení evropské daně by si vyžádalo v členských zemích referendum o tomto kroku.		Európské dane	EÚ by mala mať možnosť vyberať európske dane, ktoré by nahradili príspevky členských štátov	
	Leaving EU	My country should leave EU.	Vystoupení z EU	Česká republika by měla vystoupit z EU.	Evropskou unii tvoří 28 zemí, mj. všechny sousední země. Mimo EU je v Evropě např. Ukrajina, Bělorusko, Švýcarsko nebo Norsko.	Evropskou unii tvoří 28 zemí, mj. všechny sousední země. Mimo EU je v Evropě např. Ukrajina, Bělorusko, Švýcarsko nebo Norsko. Podle zastánců je členství v EU ekonomicky výhodné, podle odpůrců tomu tak není.					
			Federalizace EU	EU by se měla stát federací.	Státní moc je ve federaci rozložena mezi federální orgány a orgány členských zemí, což je zajištěno ústavou. Federací jsou např. USA, Rusko, Brazílie nebo Indie. Naopak ale arabské nebo latinsko-americké země jsou samostatné, i přesto že se tam mluví jedním jazykem. 	Státní moc je ve federaci rozložena mezi federální orgány a orgány členských zemí, což je zajištěno ústavou. Federací jsou např. USA, Rusko, Brazílie nebo Indie. Podle zastánců by federalizace zefektivnila politický systém EU a posílila její postavení v mezinárodní politice. Podle odpůrců by odebrání části pravomocí členským státům ztížilo možnost občanů rozhodovat o politice.					
			Komise dle voleb	Složení Evropské komise by mělo odpovídat výsledkům eurovoleb.	Do Evropské komise ("evropské vlády") její komisaře nyní nominují vlády členských zemí EU. Komise tedy neodpovídá výsledkům eurovoleb, např. je v ní jeden nutně jeden komisař z každé země (z největšího Německa i z nejmenší Malty). 	Do Evropské komise ("evropské vlády") komisaře nyní nominují vlády členských zemí EU. Komise tedy neodpovídá výsledkům eurovoleb, je v ní jeden komisař z každé země (z největšího Německa i z nejmenší Malty).	 	konkretizovat, není mi jasné, jak je to myšleno (jako že by v komisi měly být proporčně zastoupeny všechny frakce přítomné v EP? Nebo že by předseda Komise měl být z vítězné strany?)			
			Evropské referendum	Měla by být možnost vypsání celoevropského referenda na základě petice. 	Český občan může vyvolat referendum na místní a krajské úrovni, nikoli na celostátní nebo celoevropské. Podle zastánců by zavedení evropského referenda zvýšilo možnost občanů rozhodovat, podle odpůrců by bylo nákladné a mohlo by vést k přijímání populistických opatření.	Český občan může vyvolat referendum na místní a krajské úrovni, nikoli na celostátní nebo celoevropské. Podle zastánců by zavedení evropského referenda zvýšilo možnost občanů rozhodovat, podle odpůrců by bylo nákladné a mohlo by vést k přijímání populistických opatření.					
			Zrušení letního času 	Letní čas by měl být zrušen.	Letní čas se používá, neboť mnoho aktivit ve společnosti se řídí hodinami a nemění se v průběhu roku (školy, zaměstnání), ač čas denního světla se mění. Původně byl zaveden s cílem šetřit energii, ačkoli nyní je již tento efekt minimální. Letní čas je zaváděn po celé Evropě, poprvé na světě v Rakousku-Uhersku 1916.	Letní čas se používá, neboť mnoho aktivit ve společnosti se řídí hodinami a nemění se v průběhu roku (školy, zaměstnání), ač čas denního světla se mění. Původně byl zaveden s cílem šetřit energii, ačkoli nyní je již tento efekt minimální. Letní čas je zaváděn po celé Evropě, poprvé na světě v Rakousku-Uhersku 1916.					
			Euro-záruka na zboží	Zboží zakoupené v EU by měĺo být možné reklamovat u stejné firmy v jakékoliv zemi EU.	Reklamovat zboží obecně nelze u pobočky stejné firmy v jiné zemi EU. Např. v rámci ČR to ale ze zákona možné je. 	Reklamovat zboží obecně nelze u pobočky stejné firmy v jiné zemi EU. Např. v rámci ČR to ale ze zákona možné je. 					
			Euro-živnost	Živnostenský list by měl stačit k výkonu daného řemesla či podnikání po celé EU. 	V současné době nelze např. na základě českého živnostenského listu dlouhodobě podnikat na Slovensku. Ale stejný živnostenský list platí po celé ČR. 	V současné době nelze např. na základě českého živnostenského listu dlouhodobě podnikat na Slovensku, ale stejný živnostenský list platí po celé ČR. 					
			Erasmus na středních školách	Erasmus by měl být rozšířen i na střední školy.	Program Erasmus podporuje studenty vysokých škol, aby část studia proběhla v jiné zemi EU. Náklady Erasmu z rozpočtu EU jsou nyní zhruba 2 miliardy eur ročně.	Program Erasmus podporuje studenty vysokých škol, aby část studia proběhla v jiné zemi EU.					
			Stejné sazby DPH 	Sazby DPH by měly být sjednocené v celé EU.	Výše daně z přidané hodnoty je v pravomoci členských zemí a je různá v celé EU, základní sazba od 15 do 27 %, např. u potravin potom mezi 0 a 27 %. Tyto rozdíly některé obchodníky zvýhodňují a jiné znevýhodňují.	Výše daně z přidané hodnoty je v pravomoci členských států a je různá v celé EU, Tyto rozdíly některé obchodníky zvýhodňují a jiné znevýhodňují.					
			Registrace auta	Registrace auta by měla platit po celé EU. 	Nyní je nutné pro auto koupené v jiné zemi EU zařídit speciální "převozní číslo", krátkodobé povinné ručení a po dovozu ho přeregistrovat. Starši auta nelze v jiné zemi EU kupovat vůbec. 	Nyní je nutné pro auto koupené v jiné zemi EU zařídit speciální "převozní číslo", krátkodobé povinné ručení a po dovozu ho přeregistrovat. Starši auta nelze v jiné zemi EU kupovat vůbec. 					
